stage_id	phase	stage_name	scripts	command_slurm_log	input_artifacts	output_artifacts	used_in_final_graph_decision	evidence_strength	reproducibility_status	gaps	recommended_action
P1-01	Phase I	Relation-profile metadata artifact	src/composition_verification/classify_relations_pipeline.py	No production run log found	data/raw Wikidata property metadata or MongoDB collection; exact production input unclear	data/raw/wikidata_ontology.relation_profiles_afterLLM_SecondTime.json	Indirectly yes; consumed by relation universe filtering and composition target filtering	partial	depends on incomplete LLM provenance	Missing production command; prompt/model/run metadata incomplete; raw LLM responses not identified	Create run card with prompt/model/version/input hash/output hash; do not claim full LLM reproducibility yet
P1-02	Phase I	Relation universe and wikibase-item filtering	src/archive/hop_discovery.py; scripts/slurm/hop_discovery_json.slurm	logs/hop_discovery_json_27530562.out	data/raw/wikidata_ontology.relation_profiles_afterLLM_SecondTime.json	data/processed/hop_discovery_from_json.jsonl with 1703 r1 rows	Indirectly yes; begins Phase I evidence chain	confirmed	depends on live WDQS for rerun	Log confirms 1703 wikibase-item candidates; upstream profile generation still partial	Keep claim of 1703 wikibase-item candidates; cite log and cached JSONL
P1-03	Phase I	Empirical two-hop discovery	src/archive/hop_discovery.py; scripts/slurm/hop_discovery_json.slurm	logs/hop_discovery_json_27530562.out	1703 wikibase-item relation candidates	data/processed/hop_discovery_from_json.jsonl	Indirectly yes; feeds hop support	confirmed	depends on live WDQS	Cached output supports 56278 summed valid_r2 entries; thesis 340000 pair claim is unsupported by current evidence	Correct thesis count or locate missing evidence artifact for 340000
P1-04	Phase I	Hop-support estimation	src/hop_support_and_sym_anti_verification/hop_support_v2.py; src/hop_support_and_sym_anti_verification/hop_support_v3.py	scripts/slurm/hop_support_v2.slurm; logs/hop_support_v2_27520503.out; logs/normalized_hop_support_v3_rerun28049486.out	data/processed/hop_discovery_from_json.jsonl and normalized derivatives	data/processed/hop_support_v2.jsonl; data/processed/output_hop_support_v3_from_hop_discovery_from_json_and_support_v2_rerun.normalized.jsonl; data/processed/output_hop_support_v3_triplets_from_hop_discovery_from_json_and_support_v2_rerun.normalized.jsonl	Indirectly yes; feeds verification/allocation	confirmed	depends on live WDQS	Live endpoint drift; v2 resumed from prior output state	Freeze support outputs and record exact input/output hashes
P1-05	Phase I	Symmetry and anti-symmetry verification	src/statistics/hop_pattern_analysis_dashboard.py; hop support outputs	No direct export log found	hop-support loop/non-loop/total counts	Pattern group assignments inside allocation artifacts	Indirectly yes; contributes to allocation	partial	rerunnable from frozen local inputs if dashboard state is captured	Interactive threshold/export state not fully manifested	Capture dashboard/export parameters; cite allocation artifact config rather than claiming fully logged execution
P1-06	Phase I	Inverse verification	src/inverse_verification_legacy/build_inverse_alias_topk.py; src/inverse_verification_legacy/llm_classification_inv.py	logs/build_inverse_alias_topk_27543764.out; logs/llm_classification_inv_27548189.out; logs/llm_classification_inv_27548189.err	relation aliases/profiles; hop support	data/processed/wikidata_ontology.inverse_mode_aliases_topk.json; inverse shard outputs/reports	Indirectly yes; contributes to allocation groups	partial	depends on incomplete LLM provenance	LLM shard completion not proven; err log contains OpenAI 429 insufficient-quota failures	Audit all inverse shards; record completion and failed decision counts before strong inverse claims
P1-07	Phase I	Composition target filtering	src/composition_verification/classify_relations_pipeline.py	No production run log found	relation profile metadata	data/raw/wikidata_ontology.relation_profiles_afterLLM_SecondTime.json with 615 composition_target YES records	Indirectly yes; feeds composition target enrichment	partial	depends on incomplete LLM provenance	Production prompt/model/run metadata incomplete; artifact exists but run provenance incomplete	Describe as stored LLM-derived artifact; preserve prompt/model/raw response provenance if found
P1-08	Phase I	Domain/range compatibility filtering	src/enrichments_and_filters/enrich_pairs_with_targets_dom_rng_based.py	No direct production log found; script comments include example command	hop support with targets; relation profiles; property metadata	data/processed/pairs_with_compatible_targets_dom_rng_v1.jsonl; data/processed/min8_hop_support_v2_with_compatible_targets_dom_rng_v1.jsonl; v3 variants	Indirectly yes; feeds composition shortcut verification	partial	rerunnable from frozen local inputs if exact inputs and command are captured	Direct production command/log missing; input hashes not manifested	Create command card and hash the exact compatible-target artifacts
P1-09	Phase I	Composition shortcut verification	src/composition_verification/composition_range_domain_improved.py	scripts/slurm/composition_range_domain_improved_min8_jsonl.slurm; logs/composition_min8_jsonl_27683654.out; logs/composition_hop_support_v3_min8_jsonl_28197929.out	data/processed/min8_hop_support_v2_with_compatible_targets_dom_rng_v1.jsonl; data/processed/hop_support_v3/new_pairs_composition_in_v3_only.jsonl	composition-verified JSONL; compact JSONL; checkpoints; stats; reports	Indirectly yes; feeds allocation	confirmed	depends on live WDQS	Sampling deterministic given responses, but shortcut checks query WDQS	Freeze verifier outputs and, if possible, WDQS response cache
P1-10	Phase I	Interactive pattern analysis and allocation export	src/statistics/hop_pattern_analysis_dashboard.py; src/kg_building/bidirectional_triple_allocation.py	No direct dashboard export log found	hop support; inverse labels; composition labels; thresholds; support matrix	data/connectedgraph/bidirectional_allocation_results_*.json; data/processed/hop_support_v3/bidirectional_allocation_results_*.json; src/Pruning graph/bidirectional_allocation_results5k.json	Yes; selected allocation is used by B0 evaluation and final registration	partial	rerunnable from frozen local inputs if dashboard state is captured	Multiple allocation artifacts; direct export command missing; support matrix linkage partly unresolved	Create allocation run card with selected thresholds, matrix mode, inputs, output hash
P1-11	Phase I	Canonical allocation selected for final graph	src/kg_building/bidirectional_triple_allocation.py; allocation artifact	src/Pruning graph/bidirectional_allocation_results5k.json; final graph manifest	src/Pruning graph/bidirectional_allocation_results5k.json	artifacts/final_graph/selected_final_graph/final_graph_manifest.json references allocation SHA256 a0bb00a1e9b1e624c2ff6ee8fb215456b017b3aca679ef231f749ea796c310bb	Yes; canonical allocation for final graph decision	confirmed	historical artifact only	Generation/export provenance still partial; local path differs from stale Stage11/12 manifest path	Keep selected allocation hash in final package; map stale /home/kg_benchmark path to local artifact
P2-01	Phase II	Intended offline/candidate-pool design	src/kg_building/relation_balanced_kg_pipeline.py; src/kg_building/relation_balanced_kg_pipeline_config.yaml	No matching execution log found	Selected allocation; support matrix; candidate source config	Stage directories would be produced if run; no confirmed final run outputs	No direct use as executed final chain; thesis uses as qualified design	partial	documentation-only for thesis claim; config may depend on live WDQS	No direct run log; config uses candidate_source_mode: wdqs and candidate_input_path: null; stage numbering mismatch	Keep thesis wording as intended design; do not claim offline execution produced B0 unless log/manifest is found
P2-02	Phase II	Abandoned online/frontier branch	src/kg_building/run_phase4_sparql_from_allocation.py	logs/trial9_phase4_connectedgraph_sparql_watch_27985436.out; logs/trial2_hop_v3_phase4_connectedgraph_sparql_watch_28234517.out	allocation JSONs; live WDQS; checkpoint state	data/connectedgraph/trial9/*; data/connectedgraph/hop_support_v3/trial2_checkpoint_postprocess/*	Yes as negative comparison evidence; not selected final chain	confirmed	depends on live WDQS	Some log-referenced outputs missing from copied workspace; different allocation manifests than B0	Use only as abandoned/superseded evidence; avoid strict like-for-like comparison
P2-03	Phase II	Stage11 eta-aware connectivity repair	Script path not directly named; manifest script_version kg-repair-audit-safe-1.0	src/Pruning graph/stage11_eta_aware_connectivity_repair_full/manifest.json; report.json	/home/kg_benchmark/runs/prod_refine_20260315_180520/stage07_filtering_eta_aware_prod/filtered_graph_triples.jsonl; /home/kg_benchmark/src/kg_builder/input/bidirectional_allocation_results5k.json	src/Pruning graph/stage11_eta_aware_connectivity_repair_full/graph_output.jsonl; events.jsonl; state.json; report.json	Yes; upstream of selected B0	confirmed	historical artifact only; rerun also depends on live WDQS/stale inputs	Manifest uses stale absolute /home/kg_benchmark paths outside copied workspace; no SLURM log found locally	Map external production paths to local copied artifacts or mark missing; preserve manifest/report hashes
P2-04	Phase II	Stage12 path repair	Script path not directly named; manifest script_version kg-path-repair-audit-safe-1.0	src/Pruning graph/stage11_eta_aware_connectivity_repair_full/stage12_path_repair_prod/manifest.json; report.json	/home/kg_benchmark/runs/prod_refine_20260315_180520/stage11_eta_aware_connectivity_repair_full/graph_output.jsonl; /home/kg_benchmark/src/kg_builder/input/bidirectional_allocation_results5k.json	src/Pruning graph/stage11_eta_aware_connectivity_repair_full/stage12_path_repair_prod/graph_output.jsonl; events.jsonl; state.json; report.json	Yes; immediate upstream of B0 largest component	confirmed	historical artifact only; rerun also depends on live WDQS/stale inputs	Manifest uses stale absolute /home/kg_benchmark paths; no direct SLURM log found locally	Map external Stage11 path to local Stage11 artifact; preserve manifest/report hashes
P2-05	Phase II	B0 largest-component extraction and selection	Extraction script not identified in manifest; evaluated by tools/graph_candidate_evaluation/evaluate_graph_candidate.py	Stage12 eta summary; docs/reconstruction/graph_candidate_reports/B0_stage12_largest_component.report.json; final graph manifest	Stage12 repaired graph_output.jsonl; canonical allocation	src/Pruning graph/stage11_eta_aware_connectivity_repair_full/stage12_path_repair_prod/largest_component.csv; largest_component_eta_analysis/summary.json; final_graph_metrics.json	Yes; selected final graph	confirmed	historical artifact only; evaluator rerunnable from frozen local inputs	Exact largest-component extraction command not fully identified; path translation in eta summary points to runs/prod_refine...	Keep B0 as final-selected artifact; add extraction command/provenance if found
P2-06	Phase II	Stage13/C1 candidate analysis	scripts/slurm/stage13_balance_prune_revised_density_aware.slurm; src/Pruning graph/kg_balance_pruner_revised_pruning_only.py; src/statistics/kg_pattern_stats.py; src/statistics/extract_2paths.py	logs/stage13_prune_revised_29012090.out	B0 largest_component.csv; src/Pruning graph/bidirectional_allocation_results5k.json	src/Pruning graph/stage11_eta_aware_connectivity_repair_full/stage12_path_repair_prod/stage13_branch_sweep_20260423_160635/aggressive_but_guarded/pruned_graph.jsonl; pruned_graph.report.json; summary.csv; summary.md	Yes as nonselected comparison evidence	confirmed	rerunnable from frozen local inputs if scripts/env preserved	Not selected as final; branch sweep summary is analysis not final decision	Keep as post hoc candidate analysis; do not call final
P2-07	Phase II	C2 deletion-only candidate analysis	tools/graph_candidate_generation/targeted_generic_dominance_prune.py; tools/graph_candidate_evaluation/evaluate_graph_candidate.py	experiments/graph_candidates/C2_targeted_generic_pruning/command.run.sh; configs/graph_candidates/C2_targeted_generic_pruning.run.json; reports/prune_report.json	B0 largest_component.csv; canonical allocation	experiments/graph_candidates/C2_targeted_generic_pruning/outputs/pruned_graph.jsonl; reports/prune_report.json; reports/evaluator.report.json; decision.md	Yes as rejected exploratory evidence	confirmed	rerunnable from frozen local inputs	C2 failed surplus threshold; not final; graph_candidates.tsv should keep rejected status	Use as negative evidence that deletion-only pruning is insufficient
P2-08	Phase II	C3 pool and feasibility probe analysis	tools/graph_candidate_generation/build_c3_replacement_pool.py; filter_c3_replacement_pool.py; probe_c3_remove_replace_feasibility.py	No graph-generation command; probe report documents run	Stage11/12 events/state; B0; canonical allocation; eligible replacement pool	artifacts/frozen_candidate_pools/C3_replacement_pool_v1/*; eligible_v1/*; experiments/graph_candidates/C3_remove_replace_generic_connectivity/probe_v1/feasibility_probe_report.json	Yes as negative feasibility evidence; not a graph candidate	confirmed	documentation/evaluation only from frozen local inputs	No C3 graph was generated; feasible swaps are independent probe examples	Use only as feasibility evidence; do not register as graph candidate
P2-09	Phase II	Final B0 artifact registration	Documentation package; no graph-generation script	docs/reconstruction/19_final_graph_selection_decision.md; artifacts/final_graph/selected_final_graph/final_graph_manifest.json	B0 largest_component.csv; canonical allocation; B0 evaluator report	artifacts/final_graph/selected_final_graph/final_graph_manifest.json; final_graph_metrics.json; final_graph_hashes.tsv; final_graph_decision.md	Yes; final selected artifact registration	confirmed	documentation-only	Does not prove upstream end-to-end reproducibility; selected graph file was not copied or modified	Keep final package as authoritative final artifact manifest; build upstream hash chain later
